artist,stage,date,time
Twenty One Pilots,Lands End Stage,"Friday, Aug. 9",8:25-9:55 PM
Blink-182,Lands End Stage,"Friday, Aug. 9",6:25-7:40 PM
Lil Wayne,Lands End Stage,"Friday, Aug. 9",4:55-5:55 PM
The Neighborhood,Lands End Stage,"Friday, Aug. 9",3:35-4:25 PM
P-Lo,Lands End Stage,"Friday, Aug. 9",2:20-3:05 PM
Half Alive,Lands End Stage,"Friday, Aug. 9",1:05-1:50 PM
Taylor Bennett,Lands End Stage,"Friday, Aug. 9",noon-12:40 PM
Flying Lotus 3D,Sutro Stage,"Friday, Aug. 9",8:40-9:40 PM
San Holo,Sutro Stage,"Friday, Aug. 9",7:20-8:10 PM
Yaeji,Sutro Stage,"Friday, Aug. 9",6-6:50 PM
Masego,Sutro Stage,"Friday, Aug. 9",4:40-5:30 PM
Still Woozy,Sutro Stage,"Friday, Aug. 9",3:20-4:10 PM
Cautious Clay,Sutro Stage,"Friday, Aug. 9",2:05-2:50 PM
The Seshen,Sutro Stage,"Friday, Aug. 9",12:50-1:35 PM
The Lumineers,Twin Peaks Stage,"Friday, Aug. 9",8:40-9:55 PM
Counting Crows,Twin Peaks Stage,"Friday, Aug. 9",6:50-7:50 PM
Lauren Daigle,Twin Peaks Stage,"Friday, Aug. 9",5:15-6:05 PM
Aurora,Twin Peaks Stage,"Friday, Aug. 9",3:40-4:30 PM
The California Honeydrops,Twin Peaks Stage,"Friday, Aug. 9",2:05-2:55 PM
Grateful Shred,Twin Peaks Stage,"Friday, Aug. 9",12:40-1:20 PM
Luttrell,Panhandle Stage,"Friday, Aug. 9",7:50-8:35 PM
Brasstracks,Panhandle Stage,"Friday, Aug. 9",6:05-6:45 PM
The Marias,Panhandle Stage,"Friday, Aug. 9",4:30-5:10 PM
Miya Folick,Panhandle Stage,"Friday, Aug. 9",2:55-3:35 PM
Boyfriend,Panhandle Stage,"Friday, Aug. 9",1:20-2 PM
Rainbow Girls,Panhandle Stage,"Friday, Aug. 9",noon-12:40 PM
Childish Gambino,Lands End Stage,"Saturday, Aug. 10",8:25-9:55 PM
Flume,Lands End Stage,"Saturday, Aug. 10",6:25-7:40 PM
Alina Baraz,Lands End Stage,"Saturday, Aug. 10",4:55-5:55 PM
Santigold,Lands End Stage,"Saturday, Aug. 10",3:35-4:25 PM
Wallows,Lands End Stage,"Saturday, Aug. 10",2:20-3:05 PM
NoMBe,Lands End Stage,"Saturday, Aug. 10",1:05-1:50 PM
Felly,Lands End Stage,"Saturday, Aug. 10",noon-12:40 PM
Hozier,Sutro Stage,"Saturday, Aug. 10",7:35-8:50 PM
Better Oblivion Community Center,Sutro Stage,"Saturday, Aug. 10",6:15-7:05 PM
Phosphorescent,Sutro Stage,"Saturday, Aug. 10",4:55-5:45 PM
Edie Brickell & New Bohemians,Sutro Stage,"Saturday, Aug. 10",3:40-4:25 PM
Caamp,Sutro Stage,"Saturday, Aug. 10",2:25-3:10 PM
Haley Heynderickx,Sutro Stage,"Saturday, Aug. 10",1:10-1:55 PM
Amo Amo,Sutro Stage,"Saturday, Aug. 10",noon-12:40 PM
RL Grime,Twin Peaks Stage,"Saturday, Aug. 10",8:40-9:55 PM
Ella Mai,Twin Peaks Stage,"Saturday, Aug. 10",6:50-7:50 PM
Big Wild,Twin Peaks Stage,"Saturday, Aug. 10",5:20-6:10 PM
Tierra Whack,Twin Peaks Stage,"Saturday, Aug. 10",3:45-4:35 PM
Shallou,Twin Peaks Stage,"Saturday, Aug. 10",2:10-3 PM
Allblack,Twin Peaks Stage,"Saturday, Aug. 10",12:40-1:25 PM
Justin Martin,Panhandle Stage,"Saturday, Aug. 10",7:50-8:35 PM
Cupcakke,Panhandle Stage,"Saturday, Aug. 10",6:10-6:50 PM
Bea Miller,Panhandle Stage,"Saturday, Aug. 10",4:35-5:15 PM
Altin Gun,Panhandle Stage,"Saturday, Aug. 10",3-3:40 PM
Delacy,Panhandle Stage,"Saturday, Aug. 10",1:25-2:05 PM
Fatai,Panhandle Stage,"Saturday, Aug. 10",noon-12:40 PM
Paul Simon,Lands End Stage,"Sunday, Aug. 11",7:35-9:35 PM
Leon Bridges,Lands End Stage,"Sunday, Aug. 11",5:50-6:50 PM
Kacey Musgraves,Lands End Stage,"Sunday, Aug. 11",4:10-5:10 PM
Judah & the Lion,Lands End Stage,"Sunday, Aug. 11",2:50-3:40 PM
Mavis Staples,Lands End Stage,"Sunday, Aug. 11",1:30-2:20 PM
PJ Morton,Lands End Stage,"Sunday, Aug. 11",12:10-1 PM
Anderson .Paak and the Free Nationals,Sutro Stage,"Sunday, Aug. 11",7:30-8:30 PM
Toro y Moi,Sutro Stage,"Sunday, Aug. 11",6:10-7 PM
